100
Step 10
4.672497e+00 3.308474e+00 4.175002e-01
2.726796e+00 -4.711471e+00 -4.101614e+00
-9.562728e-01 -8.751867e-02 3.712972e+00
7.939088e-01 4.206880e+00 -3.979724e+00
-6.790023e-01 -4.899317e+00 -2.308909e+00
2.544544e+00 -1.363755e+00 -2.190141e+00
3.253622e+00 -8.346096e-01 -3.035879e+00
3.617724e+00 -2.000981e+00 2.727666e+00
8.368723e-01 3.947817e+00 -8.985855e-01
9.916954e-01 -4.725396e+00 2.518512e-01
-4.145330e-01 9.791336e-01 3.251409e+00
-2.462238e+00 -4.992893e+00 4.466419e+00
1.779026e+00 1.913524e+00 -1.358185e+00
3.793951e-01 -3.628417e+00 3.294310e+00
2.908313e+00 2.938350e+00 1.413898e+00
