100
 Atoms. Timestep: 340
X 4.44814 8.29704 7.99058
X 0.684052 9.46832 9.8415
X 0.443616 7.55205 7.13727
X 1.68468 6.94304 7.13605
X 5.14899 3.54301 0.72265
X 9.21885 9.49549 0.902854
X 0.613072 3.45405 2.03406
X 7.01119 3.53759 1.3559
X 5.45098 2.39101 0.501747
X 6.07923 3.1718 1.14585
X 7.28934 3.05322 0.230074
X 6.217 4.42351 0.57007
X 6.39241 2.50251 0.286915
X 3.9181 3.68128 2.88579
X 6.58328 1.85002 4.72765
X 7.58148 1.53018 4.81738
X 0.9265 3.2663 3.33225
X 7.47434 2.56045 4.07531
X 7.42557 4.45526 0.440061
X 0.443064 0.342315 9.50166
X 5.60225 3.37736 0.0109534
X 9.42571 0.707939 9.43638
X 0.118387 0.955133 0.0386296
X 5.62043 2.4703 9.53402
X 9.96857 9.57969 9.13387
X 8.80945 8.58967 0.80403
X 7.43902 5.12602 0.556748
X 9.09041 7.77104 1.26186
X 6.74045 4.91432 1.20683
X 6.41137 5.05309 0.254698
X 9.75549 8.08048 2.1444
X 4.54369 8.20566 5.61248
X 0.333578 7.5486 1.47176
X 8.70224 8.82195 1.79232
X 5.02274 7.80854 6.44415
X 0.238637 7.58007 6.3814
X 5.15887 8.84784 6.42511
X 4.4154 8.0599 6.93377
X 5.17528 9.16538 7.41607
X 5.46046 8.18017 7.00331
X 0.564182 7.60283 0.256833
X 8.73895 9.40813 9.90822
X 6.56555 4.15243 9.65368
100
 Atoms. Timestep: 410
X 0.240319 0.619762 1.2233
X 3.80165 2.38773 1.30148
X 4.34646 2.65415 2.63281
X 9.81715 9.90256 0.128214
X 3.11982 4.3105 2.58538
X 0.376086 9.36564 0.931054
X 3.95408 3.55489 1.59609
X 2.30318 3.6125 2.30871
X 0.880083 0.348187 0.612942
X 1.08073 4.21297 3.72753
X 2.52296 2.71426 3.00241
X 3.44068 8.15918 5.23217
X 3.7244 9.09255 5.17863
X 3.17355 3.69566 3.28008
X 1.54066 2.99582 2.47663
X 3.4629 2.56644 3.23253
X 1.96803 3.51838 3.43044
X 1.33381 3.88605 2.84558
X 3.34005 3.22468 2.31064
